,CT,length,height,depth
0,CT-3,512,512,38
0,CT-3,512,512,33
0,CT-3,512,512,34
0,CT-3,512,512,40
0,CT-3,512,512,38
0,CT-3,512,512,34
0,CT-3,512,512,39
0,CT-3,512,512,38
0,CT-3,512,512,46
0,CT-3,512,512,42
0,CT-3,512,512,36
0,CT-3,512,512,41
0,CT-3,512,512,45
0,CT-3,512,512,38
0,CT-3,512,512,45
0,CT-3,512,512,38
0,CT-3,512,512,40
0,CT-3,512,512,40
0,CT-3,512,512,38
0,CT-3,512,512,45
0,CT-3,512,512,41
0,CT-3,512,512,45
0,CT-3,512,512,35
0,CT-3,512,512,42
0,CT-3,512,512,41
0,CT-3,512,512,43
0,CT-3,512,512,46
0,CT-3,512,512,39
0,CT-3,512,512,45
0,CT-3,512,512,52
0,CT-3,512,512,38
0,CT-3,512,512,36
0,CT-3,512,512,72
0,CT-4,512,512,36
0,CT-4,512,512,42
